Изделие;Уровень;Родитель;Компонент;Тип;Единица;Количество
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;Пакет в гофрокоорб 400*400*90 (слойка);Сырьё;шт;1
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;Лента чек. весовая 58*80 ВкусВилл;Сырьё;шт;1
Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с джемом замороженная 1/100 / 44 шт. в коробке;Скотч прозрачный ВкусВилл;Сырьё;м;1
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;0;;Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;Изделие;;1
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;п/ф Слойка с курагой  1/100 в цех;П/Ф;шт;44
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;2;п/ф Слойка с курагой  1/100 в цех; п/ф Тесто слоеное дрожжевое 1кг ;Сырьё;;0,086
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;2;п/ф Слойка с курагой  1/100 в цех;Начинка п/ф Слойка курага, кг;П/Ф;кг;0,02
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;3;Начинка п/ф Слойка курага, кг;Курага1с;Сырьё;кг;0,425
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;3;Начинка п/ф Слойка курага, кг;Повидло;Сырьё;кг;0,5
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;Гофрокороб 400*400*90 (для слойки);Сырьё;шт;1
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;Пакет в гофрокоорб 400*400*90 (слойка);Сырьё;шт;1
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;Лента чек. весовая 58*80 ВкусВилл;Сырьё;шт;1
Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;1;Слойка п/ф с курагой замороженная 1/100 / 44 шт. в коробке;Скотч прозрачный ВкусВилл;Сырьё;м;1
Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;0;;Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;Изделие;;1
Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;1;Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;п/ф Слойка с сосиской 1/130;П/Ф;шт;60
Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;2;п/ф Слойка с сосиской 1/130; п/ф Тесто слоеное дрожжевое 1кг ;Сырьё;;0,086
Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;2;п/ф Слойка с сосиской 1/130;Сосиски студенческие;Сырьё;шт;1
Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;1;Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;Гофрокороб 400*400*90 (для слойки);Сырьё;шт;1
Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;1;Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;Пакет в гофрокоорб 400*400*90 (слойка);Сырьё;шт;1
Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;1;Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;Лента чек. весовая 58*80 ВкусВилл;Сырьё;шт;1
Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;1;Слойка п/ф с сосиской 1/130 / 60 шт. в коробке1;Скотч прозрачный ВкусВилл;Сырьё;м;1
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;0;;Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;Изделие;;1
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;1;Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;п/ф Язычок слоеный 1/50 в цех;П/Ф;шт;60
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;2;п/ф Язычок слоеный 1/50 в цех; п/ф Тесто слоеное без дрожжевое новое 1кг;П/Ф;кг;5
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;3; п/ф Тесто слоеное без дрожжевое новое 1кг;Мука в/с;Сырьё;кг;50
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;3; п/ф Тесто слоеное без дрожжевое новое 1кг;Кислота лимонная;Сырьё;кг;0,1
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;3; п/ф Тесто слоеное без дрожжевое новое 1кг;Соль;Сырьё;кг;0,9
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;3; п/ф Тесто слоеное без дрожжевое новое 1кг;Маргарин  д/слоеных изделий;Сырьё;кг;23
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;3; п/ф Тесто слоеное без дрожжевое новое 1кг;Улучшитель х/п S5000;Сырьё;кг;0,3
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;3; п/ф Тесто слоеное без дрожжевое новое 1кг;Маргарин;Сырьё;кг;1
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;2;п/ф Язычок слоеный 1/50 в цех;Сахар;Сырьё;кг;0,5
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;1;Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;Гофрокороб 400*400*90 (для слойки);Сырьё;шт;1
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;1;Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;Пакет в гофрокоорб 400*400*90 (слойка);Сырьё;шт;1
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;1;Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;Лента чек. весовая 58*80 (термоэтикетка);Сырьё;шт;1
Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;1;Язычок слоеный п/ф замороженный 1/50 / 60 шт. в коробке;Скотч прозрачный ВкусВилл;Сырьё;м;1
